"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.util.zip.ZipFile$Source.getEntryPos (String, boolean)","0.401 ms (0%)","0.310 ms (0%)","1.38 ms (0%)","1.22 ms (0%)","37"
"java.lang.String.replace (char, char)","0.245 ms (0%)","0.309 ms (0%)","1.82 ms (0%)","1.14 ms (0%)","246"
"java.io.RandomAccessFile.read (byte[], int, int)","0.307 ms (0%)","0.308 ms (0%)","0.307 ms (0%)","0.308 ms (0%)","74"
"java.util.concurrent.ConcurrentHashMap.setTabAt (java.util.concurrent.ConcurrentHashMap.Node[], int, java.util.concurrent.ConcurrentHashMap.Node)","0.316 ms (0%)","0.308 ms (0%)","0.467 ms (0%)","0.456 ms (0%)","445"
"java.lang.StringLatin1.canEncode (int)","0.339 ms (0%)","0.302 ms (0%)","0.339 ms (0%)","0.302 ms (0%)","2,325"
"java.lang.invoke.MethodType.checkPtypes (Class[])","0.296 ms (0%)","0.300 ms (0%)","0.417 ms (0%)","0.412 ms (0%)","240"
"java.lang.StringLatin1.replace (byte[], char, char)","0.420 ms (0%)","0.294 ms (0%)","0.905 ms (0%)","0.755 ms (0%)","246"
"java.util.jar.JarFile.getManifestFromReference ()","0.302 ms (0%)","0.292 ms (0%)","1.33 ms (0%)","1.29 ms (0%)","20"
"jdk.internal.org.objectweb.asm.ClassWriter.visitMethod (int, String, String, String, String[])","0.285 ms (0%)","0.291 ms (0%)","2.19 ms (0%)","1.88 ms (0%)","54"
"java.lang.invoke.LambdaForm.useCount (java.lang.invoke.LambdaForm.Name)","0.286 ms (0%)","0.286 ms (0%)","0.484 ms (0%)","0.472 ms (0%)","138"
"jdk.internal.loader.BuiltinClassLoader.defineClass (String, jdk.internal.loader.Resource)","0.330 ms (0%)","0.284 ms (0%)","35.8 ms (0%)","19.3 ms (0%)","36"
"java.nio.CharBuffer.wrap (char[], int, int)","0.288 ms (0%)","0.284 ms (0%)","0.466 ms (0%)","0.453 ms (0%)","44"
"java.lang.invoke.LambdaForm$Name.replaceNames (java.lang.invoke.LambdaForm.Name[], java.lang.invoke.LambdaForm.Name[], int, int)","0.300 ms (0%)","0.283 ms (0%)","2.59 ms (0%)","0.611 ms (0%)","171"
"java.lang.StringLatin1.lastIndexOf (byte[], int, int)","0.276 ms (0%)","0.276 ms (0%)","0.385 ms (0%)","0.380 ms (0%)","338"
"jdk.internal.org.objectweb.asm.Type.getArgumentsAndReturnSizes (String)","0.273 ms (0%)","0.276 ms (0%)","0.853 ms (0%)","0.837 ms (0%)","203"
"java.io.PrintStream.println (String)","0.276 ms (0%)","0.275 ms (0%)","4.67 ms (0%)","4.52 ms (0%)","43"
"java.lang.StringConcatHelper.newArray (long)","0.275 ms (0%)","0.274 ms (0%)","0.626 ms (0%)","0.622 ms (0%)","304"
"java.lang.StringConcatHelper.simpleConcat (Object, Object)","0.471 ms (0%)","0.273 ms (0%)","1.42 ms (0%)","1.12 ms (0%)","56"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet.get (Object)","0.280 ms (0%)","0.273 ms (0%)","2.1 ms (0%)","1.94 ms (0%)","429"
"java.lang.String.startsWith (String, int)","0.652 ms (0%)","0.272 ms (0%)","1.10 ms (0%)","0.531 ms (0%)","189"
"java.lang.Class.getClassLoader ()","1.45 ms (0%)","0.270 ms (0%)","1.77 ms (0%)","0.420 ms (0%)","432"
"java.util.concurrent.ConcurrentHashMap.addCount (long, int)","0.271 ms (0%)","0.265 ms (0%)","2.12 ms (0%)","2.9 ms (0%)","239"
"java.lang.StringBuilder.append (char)","0.287 ms (0%)","0.264 ms (0%)","12.4 ms (0%)","1.9 ms (0%)","552"
"java.lang.invoke.InvokerBytecodeGenerator.emitPushArgument (Class, Object)","0.263 ms (0%)","0.263 ms (0%)","3.27 ms (0%)","3.13 ms (0%)","329"
"Run.lambda$getSuiteFromName$3 ()","0.273 ms (0%)","0.262 ms (0%)","0.273 ms (0%)","0.262 ms (0%)","1"
"java.util.Arrays.copyOf (byte[], int)","1.1 ms (0%)","0.253 ms (0%)","1.11 ms (0%)","0.327 ms (0%)","423"
"java.lang.Class.getPackageName ()","0.253 ms (0%)","0.251 ms (0%)","0.972 ms (0%)","0.766 ms (0%)","167"
"java.lang.ClassLoader.checkName (String)","0.249 ms (0%)","0.250 ms (0%)","6.44 ms (0%)","1.13 ms (0%)","170"
"jdk.internal.org.objectweb.asm.SymbolTable.hash (int, String)","0.267 ms (0%)","0.250 ms (0%)","0.488 ms (0%)","0.462 ms (0%)","1,792"
"jdk.internal.org.objectweb.asm.MethodWriter.visitVarInsn (int, int)","0.248 ms (0%)","0.250 ms (0%)","0.753 ms (0%)","0.725 ms (0%)","573"
"java.lang.String.lastIndexOf (int, int)","0.247 ms (0%)","0.243 ms (0%)","0.733 ms (0%)","0.718 ms (0%)","338"
"java.lang.invoke.LambdaForm.normalize ()","0.258 ms (0%)","0.243 ms (0%)","2.78 ms (0%)","0.795 ms (0%)","23"
"java.lang.Class.getName ()","0.348 ms (0%)","0.240 ms (0%)","0.348 ms (0%)","0.240 ms (0%)","611"
"java.lang.invoke.InvokerBytecodeGenerator.clinit (jdk.internal.org.objectweb.asm.ClassWriter, String, java.util.List)","0.261 ms (0%)","0.238 ms (0%)","3.96 ms (0%)","3.53 ms (0%)","17"
"sun.net.www.protocol.jar.Handler.parseURL (java.net.URL, String, int, int)","0.237 ms (0%)","0.229 ms (0%)","5.16 ms (0%)","3.86 ms (0%)","36"
"java.lang.Class.descriptorString ()","0.221 ms (0%)","0.229 ms (0%)","1.3 ms (0%)","0.905 ms (0%)","50"
