"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.util.Arrays.copyOf (byte[], int)","0.316 ms (0%)","0.310 ms (0%)","0.378 ms (0%)","0.371 ms (0%)","396"
"Harness.processArguments (String[])","0.322 ms (0%)","0.308 ms (0%)","14.1 ms (0%)","13.3 ms (0%)","1"
"jdk.internal.loader.BuiltinClassLoader.defineClass (String, jdk.internal.loader.Resource)","0.312 ms (0%)","0.291 ms (0%)","22.3 ms (0%)","21.3 ms (0%)","38"
"jdk.internal.misc.Unsafe.allocateUninitializedArray (Class, int)","0.299 ms (0%)","0.291 ms (0%)","0.425 ms (0%)","0.413 ms (0%)","405"
"sun.net.www.ParseUtil.firstEncodeIndex (String)","0.281 ms (0%)","0.281 ms (0%)","1.13 ms (0%)","1.12 ms (0%)","38"
"java.lang.StringConcatHelper.newArray (long)","0.281 ms (0%)","0.278 ms (0%)","0.737 ms (0%)","0.722 ms (0%)","405"
"java.lang.StringBuilder.toString ()","0.278 ms (0%)","0.276 ms (0%)","0.964 ms (0%)","0.957 ms (0%)","533"
"java.lang.String.startsWith (String, int)","0.311 ms (0%)","0.275 ms (0%)","0.585 ms (0%)","0.543 ms (0%)","207"
"java.lang.Class.getClassLoader ()","0.287 ms (0%)","0.263 ms (0%)","0.489 ms (0%)","0.469 ms (0%)","584"
"java.lang.ClassLoader.checkName (String)","0.353 ms (0%)","0.262 ms (0%)","1.58 ms (0%)","1.20 ms (0%)","176"
"java.lang.String.replace (char, char)","0.269 ms (0%)","0.262 ms (0%)","1.26 ms (0%)","1.25 ms (0%)","305"
"java.io.RandomAccessFile.read (byte[], int, int)","0.261 ms (0%)","0.262 ms (0%)","0.261 ms (0%)","0.262 ms (0%)","78"
"java.lang.String.lastIndexOf (int, int)","0.265 ms (0%)","0.256 ms (0%)","0.871 ms (0%)","0.854 ms (0%)","368"
"java.lang.Class.getPackageName ()","0.253 ms (0%)","0.253 ms (0%)","0.852 ms (0%)","0.835 ms (0%)","195"
"java.lang.String.lastIndexOf (int)","0.320 ms (0%)","0.249 ms (0%)","1.37 ms (0%)","1.27 ms (0%)","330"
"java.lang.String.regionMatches (boolean, int, String, int, int)","0.251 ms (0%)","0.245 ms (0%)","1.43 ms (0%)","1.38 ms (0%)","114"
"sun.net.util.URLUtil.urlNoFragString (java.net.URL)","0.249 ms (0%)","0.243 ms (0%)","2.4 ms (0%)","2.0 ms (0%)","38"
"java.util.zip.ZipFile$Source.getEntryPos (String, boolean)","0.256 ms (0%)","0.242 ms (0%)","1.12 ms (0%)","1.7 ms (0%)","39"
"java.lang.StringLatin1.regionMatchesCI (byte[], int, byte[], int, int)","0.247 ms (0%)","0.241 ms (0%)","0.996 ms (0%)","0.955 ms (0%)","114"
"java.util.concurrent.ConcurrentHashMap.computeIfAbsent (Object, java.util.function.Function)","0.233 ms (0%)","0.235 ms (0%)","0.575 ms (0%)","0.571 ms (0%)","58"
"java.util.zip.InflaterInputStream.read (byte[], int, int)","0.246 ms (0%)","0.234 ms (0%)","3.24 ms (0%)","3.17 ms (0%)","68"
"java.lang.CharacterDataLatin1.toLowerCase (int)","0.225 ms (0%)","0.229 ms (0%)","0.315 ms (0%)","0.317 ms (0%)","380"
"java.nio.charset.CharsetEncoder.encode (java.nio.CharBuffer, java.nio.ByteBuffer, boolean)","0.228 ms (0%)","0.225 ms (0%)","1.60 ms (0%)","1.56 ms (0%)","84"
"deltablue.Strength.createStrengthTable ()","0.230 ms (0%)","0.225 ms (0%)","4.77 ms (0%)","4.72 ms (0%)","1"
"java.lang.System.getSecurityManager ()","0.220 ms (0%)","0.222 ms (0%)","0.346 ms (0%)","0.341 ms (0%)","551"
"jdk.internal.loader.Resource.getBytes ()","0.228 ms (0%)","0.222 ms (0%)","4.74 ms (0%)","4.49 ms (0%)","38"
"sun.nio.cs.StreamEncoder.implWrite (java.nio.CharBuffer)","0.222 ms (0%)","0.221 ms (0%)","1.86 ms (0%)","1.82 ms (0%)","84"
"sun.net.www.protocol.jar.Handler.parseURL (java.net.URL, String, int, int)","0.224 ms (0%)","0.218 ms (0%)","4.17 ms (0%)","4.8 ms (0%)","38"
"java.lang.StringLatin1.hashCode (byte[])","0.215 ms (0%)","0.216 ms (0%)","0.215 ms (0%)","0.216 ms (0%)","830"
"java.util.concurrent.ConcurrentHashMap.addCount (long, int)","0.212 ms (0%)","0.213 ms (0%)","0.244 ms (0%)","0.245 ms (0%)","269"
"java.lang.StringConcatHelper.mix (long, String)","0.217 ms (0%)","0.210 ms (0%)","0.414 ms (0%)","0.406 ms (0%)","212"
"sun.nio.cs.StreamEncoder.writeBytes ()","0.215 ms (0%)","0.210 ms (0%)","2.32 ms (0%)","2.24 ms (0%)","84"
"jdk.internal.loader.URLClassPath$JarLoader$2.getBytes ()","0.210 ms (0%)","0.209 ms (0%)","4.98 ms (0%)","4.73 ms (0%)","38"
"java.io.BufferedOutputStream.flushBuffer ()","0.219 ms (0%)","0.209 ms (0%)","1.66 ms (0%)","1.59 ms (0%)","168"
"java.lang.Character.toLowerCase (int)","0.235 ms (0%)","0.203 ms (0%)","0.485 ms (0%)","0.456 ms (0%)","228"
"java.lang.Class.getName ()","0.217 ms (0%)","0.200 ms (0%)","0.217 ms (0%)","0.200 ms (0%)","620"
"Run.printTotal ()","0.236 ms (0%)","0.200 ms (0%)","0.326 ms (0%)","0.281 ms (0%)","1"
"deltablue.Strength.<clinit> ()","0.207 ms (0%)","0.200 ms (0%)","15.1 ms (0%)","14.4 ms (0%)","1"
"java.net.URLStreamHandler.toExternalForm (java.net.URL)","0.190 ms (0%)","0.191 ms (0%)","1.64 ms (0%)","1.61 ms (0%)","38"
"java.util.WeakHashMap.remove (Object)","0.191 ms (0%)","0.190 ms (0%)","0.512 ms (0%)","0.495 ms (0%)","78"
"java.lang.String.getChars (int, int, char[], int)","0.195 ms (0%)","0.190 ms (0%)","0.350 ms (0%)","0.337 ms (0%)","167"
"java.lang.AbstractStringBuilder.append (int)","0.202 ms (0%)","0.189 ms (0%)","0.360 ms (0%)","0.351 ms (0%)","122"
"java.lang.StringLatin1.canEncode (int)","0.262 ms (0%)","0.186 ms (0%)","0.262 ms (0%)","0.186 ms (0%)","2,432"
"java.lang.StringBuilder.append (char)","0.194 ms (0%)","0.185 ms (0%)","0.825 ms (0%)","0.804 ms (0%)","574"
"java.util.WeakHashMap.put (Object, Object)","0.185 ms (0%)","0.182 ms (0%)","0.356 ms (0%)","0.346 ms (0%)","39"
"java.util.zip.ZipUtils.LG (byte[], int)","0.179 ms (0%)","0.179 ms (0%)","0.306 ms (0%)","0.304 ms (0%)","347"
"sun.nio.cs.StreamEncoder.implWrite (char[], int, int)","0.185 ms (0%)","0.179 ms (0%)","2.71 ms (0%)","2.64 ms (0%)","84"
"java.lang.StringLatin1.indexOfChar (byte[], int, int, int)","0.184 ms (0%)","0.174 ms (0%)","0.184 ms (0%)","0.174 ms (0%)","885"
"java.lang.String.indexOf (int)","0.187 ms (0%)","0.172 ms (0%)","1.29 ms (0%)","1.1 ms (0%)","363"
"sun.nio.cs.UTF_8$Encoder.encodeLoop (java.nio.CharBuffer, java.nio.ByteBuffer)","0.174 ms (0%)","0.169 ms (0%)","1.34 ms (0%)","1.31 ms (0%)","84"
"java.io.PrintStream.write (byte[], int, int)","0.173 ms (0%)","0.169 ms (0%)","1.94 ms (0%)","1.87 ms (0%)","84"
"java.lang.ClassLoader.findLoadedClass (String)","0.168 ms (0%)","0.167 ms (0%)","1.12 ms (0%)","0.847 ms (0%)","86"
"java.io.Writer.write (String)","0.168 ms (0%)","0.165 ms (0%)","0.917 ms (0%)","0.896 ms (0%)","167"
"java.lang.ref.ReferenceQueue.poll ()","0.195 ms (0%)","0.160 ms (0%)","0.223 ms (0%)","0.187 ms (0%)","869"
